ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,위도,경도,UPDT_DT,REGIST_DT
KCDCIO22N000001783,실내 문화시설,문화시설_보호구역,종합사회복지관,48170,진주시,4817011900,,4.82E+11,경상남도 진주시 동진로 273(상대동),경상남도 진주시 상대동 33-119,"273 Dongjin-ro, Jinju-si, Gyeongsangnam-do",4817011900,,4.82E+24,055-749-8927,52782,35.1810018,128.1210125,20230207,20230207
KCDCIO22N000001784,실내 문화시설,문화시설_보호구역,상락원,48170,진주시,4817012900,,4.82E+11,경상남도 진주시 판문오동길115번길 62-33(판문동),경상남도 진주시 판문동 1032 상락원,"62-33 Panmunodong-gil 115beon-gil, Jinju-si, Gyeongsangnam-do",4817012900,상락원,4.82E+24,055-749-8927,52648,35.184594,128.0321387,20230207,20230207
KCDCIO22N000001785,실내 문화시설,문화시설_보호구역,청락원,48170,진주시,4817011900,,4.82E+11,경상남도 진주시 모덕로47번길 40(상대동),경상남도 진주시 상대동 825 청락원,"40 Modeok-ro 47beon-gil, Jinju-si, Gyeongsangnam-do",4817011900,청락원,4.82E+24,055-749-8927,52786,35.185851,128.1027237,20230207,20230207
KCDCIO22N000001786,실내 문화시설,문화시설_보호구역,진주종합복지,48170,진주시,4817010700,,4.82E+11,경상남도 진주시 진양호로 476(남성동),경상남도 진주시 남성동 3-18 종합사회복지관,"476 Jinyangho-ro, Jinju-si, Gyeongsangnam-do",4817010700,종합사회복지관,4.82E+24,055-749-8927,52689,35.1907937,128.0776717,20230207,20230207
KCDCIO22N000001787,실내 문화시설,문화시설_보호구역,노인전문요양원,48170,진주시,4817010100,,4.82E+11,경상남도 진주시 천수로163번길 15(망경동),경상남도 진주시 망경동 512,"15 Cheonsu-ro 163beon-gil, Jinju-si, Gyeongsangnam-do",4817010100,,4.82E+24,055-749-8927,52713,35.1785737,128.0830679,20230207,20230207
KCDCIO22N000001788,실내 문화시설,문화시설_보호구역,진주요양원,48170,진주시,4817025023,삼곡리,4.82E+11,경상남도 진주시 문산읍 제곡길98번길 46,경상남도 진주시 문산읍 삼곡리 191 진주요양원,"46 Jegok-gil 98beon-gil, Munsan-eup, Jinju-si, Gyeongsangnam-do",4817025023,진주요양원,4.82E+24,055-749-8927,52834,35.1527629,128.1756079,20230207,20230207
KCDCIO22N000001789,실내 문화시설,문화시설_보호구역,애명노인요양원,48170,진주시,4817025023,삼곡리,4.82E+11,경상남도 진주시 문산읍 제곡길98번길 30,경상남도 진주시 문산읍 삼곡리 202 애명노인요양원,"30 Jegok-gil 98beon-gil, Munsan-eup, Jinju-si, Gyeongsangnam-do",4817025023,애명노인요양원,4.82E+24,055-749-8927,52834,35.1536699,128.174133,20230207,20230207
KCDCIO22N000001790,실내 문화시설,문화시설_보호구역,프란체스코의집,48170,진주시,4817012000,,4.82E+11,경상남도 진주시 남강로 1473(하대동),경상남도 진주시 하대동 102-1 프란치스꼬의집,"1473 Namgang-ro, Jinju-si, Gyeongsangnam-do",4817012000,프란치스꼬의집,4.82E+24,055-749-8927,52765,35.1927487,128.1275567,20230207,20230207
KCDCIO22N000001791,실내 문화시설,문화시설_보호구역,진주시종합사회복지관 상평분관,48170,진주시,4817012100,,4.82E+11,경상남도 진주시 공단로 53(상평동),경상남도 진주시 상평동 268-3 종합사회복지관 상평분관,"53 Gongdan-ro, Jinju-si, Gyeongsangnam-do",4817012100,종합사회복지관 상평분관,4.82E+24,055-749-8927,52806,35.1756692,128.1057977,20230207,20230207
KCDCOPO22N000000643,실외 관광지,체험관광지,진주성,48170,진주시,4817010500,,4.82E+11,경상남도 진주시 남강로 626(본성동),경상남도 진주시 본성동 415 진주성,"626 Namgang-ro, Jinju-si, Gyeongsangnam-do",4817010500,진주성,4.82E+24,055-749-5171,52692,35.1904323,128.0802214,20230207,20230207
