ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,DSPSN_TOILET_AT,ADIT_DC,UPDT_DT,REGIST_DT
KCDCOPO22N000000001,무장애장소,무장애장소_나눔길,군산 월명공원 무장애 나눔길,45,전라북도,45130,군산시,4513014600,,4.51303E+11,전라북도 군산시 청소년회관로 84(소룡동),전라북도 군산시 소룡동 산120,"84 Cheongsonyeonhoegwan-ro, Gunsan-si, Jeollabuk-do",4513014600,,4.51301E+24,,54111,,35.9802148,126.6958261,공공데이터,,,20230207,20230207
KCDCOPO22N000000002,무장애장소,무장애장소_나눔길,대구강북 도심 속 작은 나눔길,27,대구광역시,27230,북구,2723012300,구암동,2.72304E+11,대구광역시 북구 학정로42길 31(구암동),대구광역시 북구 구암동 698-9,"31 Hakjeong-ro 42-gil, Buk-gu, Daegu",2723012300,,2.72301E+24,,41473,,35.9268781,128.5583274,공공데이터,,,20230207,20230207
KCDCOPO22N000000003,무장애장소,무장애장소_나눔길,늘솔길공원 편백나무숲 다함께 나눔길(무장애),28,인천광역시,28200,남동구,2820011000,,2.82003E+11,인천광역시 남동구 앵고개로 771(논현동),인천광역시 남동구 논현동 738-8 늘솔길 근린공원 3호,"771 Aenggogae-ro, Namdong-gu, Incheon",2820011000,늘솔길 근린공원 3호,2.82001E+24,,21678,,37.3944899,126.7197355,공공데이터,,,20230207,20230207
KCDCOPO22N000000004,무장애장소,무장애장소_나눔길,제주시 절물 무장애 나눔숲,50,제주특별자치도,50110,제주시,5011011600,,5.01103E+11,제주특별자치도 제주시 명림로 584(봉개동),제주특별자치도 제주시 봉개동 산78-1 절물휴양림,"584 Myeongnim-ro, Jeju-si, Jeju-do",5011011600,절물휴양림,5.01101E+24,,63313,,33.4302204,126.6228483,공공데이터,,,20230207,20230207
KCDCOPO22N000000005,무장애장소,무장애장소_나눔길,다함께나눔길,44,충청남도,44825,태안군,4482534026,의항리,4.48255E+11,충청남도 태안군 소원면 천리포1길 187,충청남도 태안군 소원면 의항리 875,"187 Cheollipo 1-gil, Sowon-myeon, Taean-gun, Chungcheongnam-do",4482534026,,4.48253E+24,,32121,,36.7965849,126.1487821,공공데이터,,,20230207,20230207
KCDCOPO22N000000006,무장애장소,무장애장소_나눔길,충북대학교병원 치유의 나눔길,43,충청북도,43112,청주시 서원구,4311210900,개신동,4.31123E+11,"충청북도 청주시 서원구 충대로 1(개신동, 충북대학교)",충청북도 청주시 서원구 개신동 12 충북대학교,"1 Chungdae-ro, Seowon-gu, Cheongju-si, Chungcheongbuk-do",4311210900,충북대학교,4.31131E+24,,28644,,36.6240902,127.4601853,공공데이터,,,20230207,20230207
KCDCOPO22N000000007,무장애장소,무장애장소_나눔길,화왕산 자연휴양림 무장애나눔길,48,경상남도,48740,창녕군,4874031028,감리,4.87405E+11,경상남도 창녕군 고암면 청간길 128-126,경상남도 창녕군 고암면 감리 산61-1,"128-126 Cheonggan-gil, Goam-myeon, Changnyeong-gun, Gyeongsangnam-do",4874031028,,4.87403E+24,,50315,,35.5466231,128.5674615,공공데이터,,,20230207,20230207
KCDCOPO22N000000008,무장애장소,무장애장소_나눔길,영천시 운주산 무장애나눔길,47,경상북도,47230,영천시,4723037026,황강리,4.72305E+11,경상북도 영천시 임고면 승마휴양림길 105,경상북도 영천시 임고면 황강리 산9,"105 Seungmahyuyangnim-gil, Imgo-myeon, Yeongcheon-si, Gyeongsangbuk-do",4723037026,,4.72304E+24,,38819,,36.0340185,128.9956004,공공데이터,,,20230207,20230207
KCDCOPO22N000000009,무장애장소,무장애장소_나눔길,2017년 대청호반숲 무장애나눔길,30,대전광역시,30230,대덕구,3023012500,,3.02303E+11,대전광역시 대덕구 대청로 607(미호동),대전광역시 대덕구 미호동 57 공원관리사업소,"607 Daecheong-ro, Daedeok-gu, Daejeon",3023012500,공원관리사업소,3.02301E+24,,34316,,36.4736259,127.4735658,공공데이터,,,20230207,20230207
KCDCOPO22N000000010,무장애장소,무장애장소_나눔길,금곡동 무장애나눔길,26,부산광역시,26320,북구,2632010100,금곡동,2.63204E+11,"부산광역시 북구 효열로220번길 22(금곡동, 금곡화목타운)",부산광역시 북구 금곡동 97-10 금곡화목타운,"22 Hyoyeol-ro 220beon-gil, Buk-gu, Busan",2632010100,금곡화목타운,2.63201E+24,,46512,,35.2620673,129.0205536,공공데이터,,,20230207,20230207
