행정동,세대수,내외국인_남자 인구,내외국인_여자 인구,내국인_주민등록_남자 인구,내국인_주민등록_여자 인구,외국인_출입국등록신고_남자,외국인_출입국등록신고_여자,등록기준일자,데이터작성기준일
문 산 읍,3650,4283,4075,4083,3976,200,99,2021-12-31,2023-05-18
내 동 면,1634,2075,2029,2019,2001,56,28,2021-12-31,2023-05-18
정 촌 면,4031,4728,4341,4480,4292,248,49,2021-12-31,2023-05-18
금 곡 면,1235,1069,1168,1039,1145,30,23,2021-12-31,2023-05-18
진 성 면,1078,973,958,924,948,49,10,2021-12-31,2023-05-18
일반성면,1362,1270,1323,1249,1308,21,15,2021-12-31,2023-05-18
이반성면,1013,857,807,795,786,62,21,2021-12-31,2023-05-18
사 봉 면,888,941,763,725,753,216,10,2021-12-31,2023-05-18
지 수 면,827,761,722,714,716,47,6,2021-12-31,2023-05-18
대 곡 면,1813,1730,1642,1594,1594,136,48,2021-12-31,2023-05-18
금 산 면,7911,10510,10501,10479,10424,31,77,2021-12-31,2023-05-18
집 현 면,2162,2327,2345,2314,2324,13,21,2021-12-31,2023-05-18
미 천 면,936,790,806,779,800,11,6,2021-12-31,2023-05-18
명 석 면,2149,1984,2052,1958,2024,26,28,2021-12-31,2023-05-18
대 평 면,568,497,550,497,539,0,11,2021-12-31,2023-05-18
수 곡 면,1236,1096,1169,1066,1119,30,50,2021-12-31,2023-05-18
천 전 동,13374,13748,14291,13690,14182,58,109,2021-12-31,2023-05-18
성 북 동,5956,5125,5272,5087,5213,38,59,2021-12-31,2023-05-18
중 앙 동,6270,5347,5746,5323,5691,24,55,2021-12-31,2023-05-18
상 봉 동,7312,6836,7043,6822,7001,14,42,2021-12-31,2023-05-18
상 대 동,9877,9834,9968,9557,9754,277,214,2021-12-31,2023-05-18
하 대 동,11055,12195,12228,12079,12073,116,155,2021-12-31,2023-05-18
상 평 동,5498,6253,5759,5835,5657,418,102,2021-12-31,2023-05-18
초 장 동,9459,13595,13304,13572,13269,23,35,2021-12-31,2023-05-18
평 거 동,11338,13107,14341,13086,14287,21,54,2021-12-31,2023-05-18
신 안 동,5312,5501,6156,5483,6119,18,37,2021-12-31,2023-05-18
이 현 동,5236,5859,6049,5851,6024,8,25,2021-12-31,2023-05-18
판 문 동,7959,10050,11066,9999,11006,51,60,2021-12-31,2023-05-18
가 호 동,13855,14558,14137,14188,13795,370,342,2021-12-31,2023-05-18
충무공동,12298,16344,16741,16314,16676,30,65,2021-12-31,2023-05-18
