구분,건축물,인증종류,등급,인증기관,인증년도,위도,경도
BF인증시설,진주(부산방향)휴게소,건축물,최우수,한국장애인개발원,2010,35.159633,128.12199
BF인증시설,진주역사,여객시설,최우수,한국토지주택공사,2013,35.151064,128.11831
BF인증시설,한국토지주택공사 본사사옥,건축물,최우수,한국장애인개발원,2015,35.178585,128.146248
BF인증시설,남가람 문화거리 공중화장실,건축물,우수,한국장애인개발원,2017,35.17614802,128.0891259
BF인증시설,진양고등학교,건축물,우수,한국생산성본부인증원,2018,35.17578832,128.1525382
BF인증시설,신진주역세권 공원화장실,건축물,우수,한국토지주택공사,2018,35.1531307,128.1185852
BF인증시설,신진주역세권 지하주차장,건축물,우수,한국토지주택공사,2018,35.1531307,128.1185852
BF인증시설,진주충무공초등학교,건축물,우수,한국감정원,2019,35.17347986,128.1500029
BF인증시설,진주 상봉어린이집,건축물,우수,한국감정원,2019,35.19732874,128.071735
BF인증시설,예하초등학교,건축물,우수,한국감정원,2019,35.12487569,128.0989831
BF인증시설,경상남도교육청 학생안전체험교육원,건축물,우수,한국교육녹색환경연구원,2019,35.16692439,128.1670945
BF인증시설,진주충무공동 우체국,건축물,우수,한국토지주택공사,2020,35.175006,128.149433
BF인증시설,대곡중학교,건축물,우수,한국생산성본부인증원,2020,35.262476,128.167224
BF인증시설,돗골 경로당,건축물,우수,한국토지주택공사,2020,35.177541,128.114515
BF인증시설,상대공원 경로당,건축물,우수,한국토지주택공사,2020,35.184952,128.118496
BF인증시설,진주시 지식산업센터(아트형공장),건축물,우수,한국장애인개발원,2021,35.1807572,128.0847288
BF인증시설,미천면 효자경로당,건축물,우수,한국토지주택공사,2021,35.33058052,128.0685675
BF인증시설,대봉새뜰센터,건축물,우수,한국환경건축연구원,2021,35.20250744,128.0817751
BF인증시설,상봉동 행정복지센터,건축물,우수,한국건물에너지기술원,2021,35.19856192,128.0751243
BF인증시설,진주 충효교육원 별관,건축물,우수,한국생산성본부인증원,2021,35.19664285,128.0912223
BF인증시설,문산읍 관정마을 경로당,건축물,우수,한국토지주택공사,2021,35.17048702,128.1691632
BF인증시설,금동경로당,건축물,우수,한국생산성본부인증원,2021,35.20150861,127.9277449
BF인증시설,만물도랑경로당,건축물,우수,한국생산성본부인증원,2021,35.19243089,128.0625837
BF인증시설,숲속 어린이도서관,건축물,우수,한국장애인개발원,2021,,
BF인증시설,석갑산 등산로변 화장실,건축물,우수,한국환경건축연구원,2021,,
BF인증시설,월아산 등산로변 화장실,건축물,우수,한국환경건축연구원,2021,,
BF인증시설,은하수초등학교,건축물,우수,한국장애인개발원,2022,35.151402,128.110922
BF인증시설,진주시 농업기술센터,건축물,우수,한국생산성본부인증원,2022,35.148961,128.146205
BF인증시설,가호동행정복지센터,건축물,우수,한국건물에너지기술원,2022,35.160027,128.106658
BF인증시설,진양호 우드랜드 조성공사,건축물,우수,한국건물에너지기술원,2022,35.175448,128.038932
BF인증시설,상봉동 대봉경로당,건축물,우수,한국생산성본부인증원,2022,,
BF인증시설,평거동 숯골경로당,건축물,우수,한국생산성본부인증원,2022,,
