읍면동,경로당명,도로명주소,신고일자,대지면적,건물면적,기준일자,위도,경도
문산읍,갈곡경로당,경상남도 진주시 문산읍 갈곡길 24,1999-01-09,652,149.52,2023-05-01,35.1490354,128.2081584
문산읍,갈곡노인경로당,경상남도 진주시 문산읍 문산로 696,1994-02-21,918,256.3,2023-05-01,35.146934,128.2085296
문산읍,계리경로당,경상남도 진주시 문산읍 두산길5번길 1,1997-12-16,168,90.04,2023-05-01,35.1354328,128.1626928
문산읍,남동경로당,경상남도 진주시 문산읍 소문길17번길 6(2층),2009-11-13,158,94.44,2023-05-01,35.1709949,128.1639411
문산읍,남서경로당,경상남도 진주시 문산읍 월아산로1094번길 7,2001-08-28,218,65,2023-05-01,35.169209,128.1625691
문산읍,대호경로당,경상남도 진주시 문산읍 문정로540번길 13,2001-01-16,208,88.11,2023-05-01,35.1545312,128.1504444
문산읍,덕남경로당,경상남도 진주시 문산읍 동부로 564,2011-11-24,165,84.6,2023-05-01,35.1657529,128.1626166
문산읍,덕동경로당,경상남도 진주시  문산읍 동부로587번길 9,2006-04-04,196,86.76,2023-05-01,35.1682572,128.1639735
문산읍,덕촌경로당,경상남도 진주시 문산읍 동부로591번길 6-1(2층),2008-06-23,94,112.4,2023-05-01,35.1683491,128.1646246
문산읍,동방경로당,경상남도 진주시 문산읍 정자천로 204,1996-04-22,218,196.8,2023-05-01,35.1362782,128.1907658
문산읍,동정경로당,경상남도 진주시 문산읍 소문길53번길 3,2003-02-18,109,61.65,2023-05-01,35.1707938,128.1676218
문산읍,두산경로당,경상남도 진주시 문산읍 두산길203번길 12,1998-09-10,298,89.46,2023-05-01,35.144922,128.1516118
문산읍,문산경로당,경상남도 진주시 문산읍 동부로588번길 10,1963-08-09,126,212.2,2023-05-01,35.1667675,128.1648287
문산읍,부동경로당,경상남도 진주시 문산읍 소문길 117,1998-09-10,182,140.63,2023-05-01,35.1711962,128.1736559
문산읍,삼곡리경로당,경상남도 진주시 문산읍 동부로 634,2006-04-11,231,60.86,2023-05-01,35.1686477,128.1689684
문산읍,상이경로당,경상남도 진주시 문산읍 동부로781번길 56,2000-01-26,67,75.6,2023-05-01,35.1739579,128.1866234
문산읍,서정경로당,경상남도 진주시 문산읍 소문길 37-10,1998-09-10,358,84.8,2023-05-01,35.1710994,128.1661481
문산읍,송정경로당,경상남도 진주시 문산읍 문산로 582,1998-09-10,28,98.85,2023-05-01,35.1435213,128.2200688
문산읍,신촌경로당,경상남도 진주시 문산읍 문정로592번길 19-4,1999-08-24,219,99.44,2023-05-01,35.1586645,128.1533236
문산읍,안전경로당,경상남도 진주시 문산읍 정자천로 371,1999-01-09,163,91,2023-05-01,35.1457317,128.2032255
문산읍,어수경로당,경상남도 진주시 문산읍 월아산로800번길 22,1998-09-10,129,168,2023-05-01,35.14832,128.1673838
문산읍,원당경로당,경상남도 진주시 문산읍 동부로 620,2008-09-18,63,40.66,2023-05-01,35.1684919,128.1675668
문산읍,원촌경로당,경상남도 진주시 문산읍 동부로302번길 3,2006-04-07,18,77.46,2023-05-01,35.1624265,128.1378199
문산읍,이곡경로당,경상남도 진주시 문산읍 이곡길 123,1996-05-29,486,92.03,2023-05-01,35.1490202,128.1810983
문산읍,정동경로당,경상남도 진주시 문산읍 동부로326번길 85,2002-01-22,198,95.17,2023-05-01,35.1585351,128.1335518
문산읍,제곡경로당,경상남도 진주시 문산읍 제곡길 153,1999-06-17,119,118.8,2023-05-01,35.1572138,128.1794087
문산읍,주정경로당,경상남도 진주시 문산읍 소문길 89-4,2006-05-04,124,52.96,2023-05-01,35.1715499,128.1711631
문산읍,코아루A경로당,경상남도 진주시 문산읍 월아산로1117번길 5(문산코아루A),2011-10-12,235,235,2023-05-01,35.1696568,128.1610985
문산읍,파란채경로당,경상남도 진주시 문산읍 월아산로1048번길 15(문산파란채A),2012-03-14,74,73,2023-05-01,35.1653377,128.1657037
내동면,가호경로당,경상남도 진주시 내동면 유수길 121,1998-04-15,791,101.83,2023-05-01,35.1273432,128.0117363
내동면,남강휴먼빌A경로당,경상남도 진주시 내동면 순환로 425-61(남강휴먼빌A),2011-01-11,476.96,108.72,2023-05-01,35.1627934,128.0660157
내동면,내평경로당,경상남도 진주시 내동면 내축로663번길 48,2004-06-24,130,85.1,2023-05-01,35.1410688,128.0208735
내동면,대동경로당,경상남도 진주시 내동면 내동로 264,1999-04-14,265,265.96,2023-05-01,35.1492289,128.0938182
내동면,독산경로당,경상남도 진주시 내동면 순환로 396,1987-05-08,159,132,2023-05-01,35.1613576,128.0683774
내동면,산강경로당,경상남도 진주시 내동면 산유로 463,2005-08-11,225,81.75,2023-05-01,35.1438085,128.0603541
내동면,산기경로당,경상남도 진주시 내동면 철봉산길147번길 9,2004-11-06,183,88.4,2023-05-01,35.1436568,128.0409069
내동면,삼계경로당,경상남도 진주시 내동면 삼계로312번길 3,1998-02-04,361,86.42,2023-05-01,35.1521501,128.0343939
내동면,상촌경로당,경상남도 진주시 내동면 내축로577번길 166-3(2층),2006-07-07,233,138,2023-05-01,35.1401884,128.0047582
내동면,신광경로당,경상남도 진주시 내동면 삼계로140번길 23-1,1994-05-25,1904,188.6,2023-05-01,35.1373514,128.0297836
내동면,양옥경로당,경상남도 진주시 내동면 삼계로 288,1997-09-30,220,234.7,2023-05-01,35.1505829,128.0328314
내동면,유동경로당,경상남도 진주시 내동면 내축로 427-3,1999-07-22,145,127.44,2023-05-01,35.1260445,128.0315197
내동면,율곡경로당,경상남도 진주시 내동면 신율길 95,1996-04-14,216,82.47,2023-05-01,35.1433395,128.0878711
내동면,정동경로당,경상남도 진주시 내동면 내축로577번길 13-2,1996-04-17,112,204.5,2023-05-01,35.1327942,128.0178209
정촌면,강남경로당,경상남도 진주시 정촌면 강주길18번길 24,2005-09-27,182,83.89,2023-05-01,35.1124371,128.0933046
정촌면,강서경로당,경상남도 진주시 정촌면 강주길 3-8,2006-11-09,321,84.49,2023-05-01,35.1151672,128.0927185
정촌면,강주경로당,경상남도 진주시 정촌면 강주길 54번길2,1997-05-30,131,265,2023-05-01,35.1140571,128.0974679
정촌면,고미경로당,경상남도 진주시 정촌면 정촌로 626,1998-08-20,79,76.9,2023-05-01,35.1362824,128.1429598
정촌면,대방경로당,경상남도 진주시 정촌면 대축길131번길 23,2003-05-03,121,100.44,2023-05-01,35.1320051,128.0894226
정촌면,대초경로당,경상남도 진주시 정촌면 강주길229번길 16,2009-06-26,393,71.78,2023-05-01,35.1106978,128.1128531
정촌면,매동경로당,경상남도 진주시 정촌면 화개길 234,1996-04-17,283,49.68,2023-05-01,35.1370598,128.1122888
정촌면,매동본동경로당,경상남도 진주시 정촌면 화개길 148,2004-07-08,313,114.21,2023-05-01,35.133171,128.1098234
정촌면,모심경로당,경상남도 진주시 정촌면 화개길 345,1998-08-20,222,86.23,2023-05-01,35.1406,128.1015891
정촌면,목과경로당,경상남도 진주시 정촌면 진주대로 134-25,1999-11-30,103,61.14,2023-05-01,35.1216133,128.0963148
정촌면,목과남경로당,경상남도 진주시 정촌면 진주대로130번길 29-7,2005-05-07,314,91.09,2023-05-01,35.1195127,128.0967091
정촌면,봉동경로당,경상남도 진주시 정촌면 문정로82번길 4,1997-05-30,417,143.16,2023-05-01,35.1258787,128.1436282
정촌면,봉전경로당,경상남도 진주시 정촌면 무선산로 265,1998-10-07,281,111.43,2023-05-01,35.1180947,128.1528957
정촌면,삼웅경로당,경상남도 진주시 정촌면 정촌로 525,1998-04-06,141,72.1,2023-05-01,35.1361049,128.1330517
정촌면,소곡경로당,경상남도 진주시 정촌면 정촌로265번길 15,1978-04-10,383,103.77,2023-05-01,35.1227132,128.1212317
정촌면,심대경로당,경상남도 진주시 정촌면 대축길85번길 145,1997-10-30,469,76.1,2023-05-01,35.1306079,128.0763355
정촌면,예상경로당,경상남도 진주시 정촌면 강주길 125,2005-09-27,365,71.02,2023-05-01,35.1099937,128.102392
정촌면,이동경로당,경상남도 진주시 정촌면 정촌로139번길 19-9,1996-04-17,102,107.65,2023-05-01,35.1284288,128.1094251
정촌면,죽봉경로당,경상남도 진주시 정촌면 화개길194번길 121(2층),1996-04-17,201,103.68,2023-05-01,35.1398356,128.1219773
