index,name,parking_type,road_address,jibun_address,유형,위도,경도
0,신안주공2차관리소앞공중전화(옥외),공중전화,경남 진주시 신안들말길 47,신안동 707-1,옥외,35.1787752,128.0666096
1,진주혁신도시한울터공원입구공중전화(옥외),공중전화,경남 진주시 충무공동 285-1,경남 진주시 충무공동 285-1,옥외,35.174831,128.1470096
2,하대아파트공중전화(옥외),공중전화,경남 진주시 상대로 127,하대동 74-2,옥외,35.1851417,128.126243
3,신안철물옆공중전화(옥외),공중전화,경남 진주시 신안동 105,,옥외,35.1815305,128.0662911
4,하대동한빛치과앞공중전화(옥외),공중전화,경남 진주시 하대동 153,경남 진주시 하대동 153,옥외,35.1861463,128.1229995
5,초전현대아파트상가앞공중전화(옥외),공중전화,경남 진주시 대신로457번길 19,초전동 823-2,옥외,35.2005504,128.1142357
6,가좌주공아파트_3단지상가앞공중전화(옥외),공중전화,경남 진주시 진주대로568번길 14,가좌동 464,옥외,35.1568923,128.1097297
7,도동초등학교2층우측공중전화(옥내),공중전화,경남 진주시 대신로 324,하대동 343-3,옥내,35.1896106,128.1177005
8,국제로타리옆공중전화(옥외),공중전화,경남 진주시 봉곡동 490,,옥외,35.1938276,128.0703346
9,들말한보아파트공중전화(옥외),공중전화,경남 진주시 평거로39번길 9,평거동 192-1,옥외,35.1734967,128.0633155
10,농산물시장옥외휴게소공중전화(옥외),공중전화,경남 진주시 남강로 1689,초전동 260,옥외,35.2109086,128.1233461
11,상대아파트앞공중전화(옥외),공중전화,경남 진주시 남강로1385번길 4,,옥외,35.1837786,128.1251046
12,문산동국@앞공중전화(옥외),공중전화,경남 진주시 문산읍 소문리 2372-2,경남 진주시 문산읍 소문리 2372-2,옥외,35.1694649,128.1625573
13,(구)한일병원앞공중전화(옥외),공중전화,경남 진주시 상평동 163-12,경남 진주시 상평동 163-12,구,35.1704033,128.1182946
14,선학초등학교식당앞공중전화(옥내),공중전화,경남 진주시 하대로105번길 26,초전동 405-1,옥내,35.1961485,128.1237377
15,호탄대경빌라트공중전화(옥외),공중전화,경남 진주시 호탄동 663-1,,옥외,35.164645,128.1152534
16,동진초등학교우측현관1층공중전화(옥내),공중전화,경남 진주시 도동로184번길 13,하대동 119-1,옥내,35.187331,128.1242243
17,하대현대아파트관리실공중전화(옥외),공중전화,경남 진주시 하대로 138,하대동 101,옥외,35.1920765,128.1263029
18,호탄대동아파트상가앞공중전화(옥외),공중전화,경남 진주시 가호로44번길 7,호탄동 579-1,옥외,35.1626584,128.11221
