법정동,장애인구수(4유형),인구수,고령인구수,장애인복지시설수,경로당수,BF인증시설수,무장애산책로,전동휠체어충전소,장애인_실내문화공간,장애인_실외문화공간,주차장수,2020년_불법주차수,2021년_불법주차수,2022년_불법주차수,2023년_불법주차수,장애인구수4_격자할당,lng,lat
초장동,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.35897436,128.0796221,35.21973369
대곡면,190,56,19,0,0,0,0,0,0,0,0,0,0,0,0,2.068181818,128.1623581,35.25988526
명석면,182,36,11,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,128.0356715,35.21993614
사봉면,142,20,12,0,1,0,0,0,0,0,0,0,0,0,0,1.913793103,128.3212052,35.20481075
대평면,219,0,,0,0,0,0,0,0,0,0,0,0,0,0,2.740740741,127.9694335,35.1661088
천전동,137,1732,318,0,1,0,1,0,0,0,0,431,1189,416,10,48.47058824,128.0957742,35.17457037
수곡면,343,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932773109,127.9200903,35.17981562
대곡면,97,13,9,0,0,0,0,0,0,0,0,0,0,0,0,2.068181818,128.1680395,35.28239611
이반성면,127,42,26,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3372664,35.16412497
대평면,491,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.740740741,127.9694853,35.17512569
천전동,278,1373,328,0,2,0,0,0,0,0,0,2445,2192,1300,604,48.47058824,128.0958071,35.17907871
문산읍,116,0,,0,0,0,0,0,0,0,0,0,0,0,0,4.13253012,128.161553,35.16070349
가호동,111,3885,862,0,3,0,0,1,0,0,0,2,11,15,9,24.4516129,128.112145,35.16096322
지수면,169,23,14,0,0,0,0,0,0,0,0,0,0,0,0,1.37254902,128.2172424,35.25055555
집현면,70,39,17,0,0,0,0,0,0,0,0,0,0,0,0,2.517241379,128.0852778,35.24224883
정촌면,404,14,8,0,1,0,0,0,0,0,0,0,0,0,0,4.276923077,128.1502508,35.12018802
일반성면,526,229,53,0,0,0,0,0,0,0,0,0,3,0,0,3.188679245,128.2879017,35.16896455
수곡면,758,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932773109,128.2046939,35.07028986
금산면,74,22,7,0,0,0,0,0,0,0,0,0,0,0,0,6.915492958,128.1676327,35.23280567
미천면,356,40,22,0,1,0,0,0,0,0,0,0,0,0,0,1.901639344,128.129484,35.27358604
금산면,824,30,12,0,0,0,1,0,0,0,0,0,0,0,0,6.915492958,128.1509329,35.20584587
금곡면,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.632183908,128.1883187,35.079401
내동면,698,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2125,128.018617,35.12983985
금산면,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.915492958,128.1839651,35.2146807
가호동,398,11,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4516129,128.123159,35.16541557
정촌면,583,58,13,0,1,0,0,0,0,0,0,0,0,0,0,4.276923077,128.1229528,35.13836553
미천면,509,74,42,0,1,0,0,0,0,0,0,0,0,0,0,1.901639344,128.1352279,35.3051149
대평면,438,13,10,0,1,0,0,0,0,0,0,0,0,0,0,2.740740741,127.9641226,35.19768901
수곡면,331,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0.932773109,127.9584782,35.17065931
이반성면,296,41,26,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3317767,35.16416279
문산읍,,45,39,0,0,0,0,0,0,0,0,0,0,0,0,4.13253012,128.2218202,35.14683394
진성면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.607594937,128.260325,35.15561539
명석면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,128.0191899,35.22000795
이반성면,,31,18,0,1,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3425238,35.14154632
