시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
중랑우체국,서울특별시,중랑구,11260,서울특별시 중랑구 망우로 271,서울특별시 중랑구 상봉동 116-20,37.59596944,127.0827062,중랑우체국(건물 밖 오른쪽 유휴공간(실외)),9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,서울특별시 중랑구청 장애인복지과,02-2094-2483,2023-04-21,3060000,서울특별시 중랑구
시립대종합사회복지관,서울특별시,중랑구,11260,서울특별시 중랑구 신내로 115,서울특별시 중랑구 신내2동 660,37.60929753,127.0949042,서울시립대종합사회복지관(실외),9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,서울특별시 중랑구청 장애인복지과,02-2094-2483,2023-04-21,3060000,서울특별시 중랑구
신내노인종합복지관,서울특별시,중랑구,11260,서울특별시 중랑구 신내로15길 175,서울특별시 중랑구 신내동 771-1,37.61481251,127.0878892,신내노인종합복지관(실외),9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,서울특별시 중랑구청 장애인복지과,02-2094-2483,2023-04-21,3060000,서울특별시 중랑구
용마경로복지센터,서울특별시,중랑구,11260,서울특별시 중랑구 용마산로94길 98,서울특별시 중랑구 면목동 27,37.58739985,127.1018199,용마경로복지센터(정문 옆 공간(실외)),9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,서울특별시 중랑구청 장애인복지과,02-2094-2483,2023-04-21,3060000,서울특별시 중랑구
송파노인종합복지관,서울특별시,송파구,11710,서울특별시 송파구 백제고분로32길 41,서울특별시 송파구 삼전동 172-2,37.498667,127.094894,"송파노인종합복지관 실외, 1층 출입구",0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,서울특별시 송파구,02-2147-5000,2023-06-30,3230000,서울특별시 송파구
전주시청,전라북도,전주시,46400,전라북도 전주시 완산구 노송광장로 29(본관 강당 출입방면),전라북도 전주시 완산구 서노송동 619-11,35.82426982,127.1468073,1층 입구(실외),9:00,18:00,0:00,0:00,0:00,0:00,4,Y,N,전라북도 전주시청,063-281-5193,2023-06-30,4640000,전라북도 전주시
남양주시장애인복지관,경기도,남양주시,41360,경기도 남양주시 홍유릉로 273,경기도 남양주시 금곡동 615-10,37.62700612,127.2004225,남양주시장애인복지관 1층 출입문 옆(실외),9:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,경기도 남양주시장애인복지관,031-593-7950,2023-05-10,3990000,경기도 남양주시
갓바위 해상교(달맞이 공원 인근),전라남도,목포시,46110,전라남도 목포시 상동 1119-2,,34.79343754,126.4250206,실외,0:00,23:59,0:00,23:59,0:00,23:59,1,Y,N,전라남도 목포시청,061-270-8814,2023-07-13,4800000,전라남도 목포시
하나노인복지관,전라남도,목포시,46110,전라남도 목포시 해안로229번길 9-1,,34.78618211,126.3858986,실외,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,전라남도 목포시청,061-242-5357,2023-07-13,4800000,전라남도 목포시
용당2동주민센터,전라남도,목포시,46110,전라남도 목포시 백년대로 95-5,,34.79958671,126.3997633,실외,0:00,23:59,0:00,23:59,0:00,23:59,1,Y,N,전라남도 목포시청,061-270-4523,2023-07-13,4800000,전라남도 목포시
남양주시북부장애인복지관,경기도,남양주시,41360,경기도 남양주시 진접읍 경복대로 507-1,경기도 남양주시 진벌리 산 140-3,37.7402153,127.2155092,남양주시북부장애인복지관 1층 정문입구 옆(실외 2대),12:00,23:59,0:00,23:59,0:00,23:59,2,N,N,경기도 남양주시북부장애인복지관,031-574-2668,2023-05-10,3990000,경기도 남양주시
사)한국지체장애인협회경기도협회남양주시지회,경기도,남양주시,41360,경기도 남양주시 경춘로 883-2(금곡동),경기도 남양주시 금곡동 693-2,37.63256443,127.1998076,② 정문 입구 실외,9:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,사)한국지체장애인협회경기도협회남양주시지회,031-591-6930,2023-05-10,3990000,경기도 남양주시
삼학도 무장애길 입구,전라남도,목포시,46110,전라남도 목포시 산정동 1480-3,,34.80701849,126.3694884,실외,0:00,23:59,0:00,23:59,0:00,23:59,1,Y,N,전라남도 목포시청,061-270-8814,2023-07-13,4800000,전라남도 목포시
평화광장 2매점,전라남도,목포시,46110,전라남도 목포시 평화로 82,,34.79666213,126.4337909,실외(매점 옆),9:00,18:00,9:00,13:00,0:00,0:00,1,N,N,전라남도 목포시청,061-270-8814,2023-07-13,4800000,전라남도 목포시
평화광장 관광안내소,전라남도,목포시,46110,전라남도 목포시 평화로 82,,34.79666213,126.4337909,실외(관광안내소 앞),0:00,23:59,0:00,23:59,0:00,0:00,1,N,N,전라남도 목포시청,061-270-8814,2023-07-13,4800000,전라남도 목포시
북항노을공원,전라남도,목포시,46110,전라남도 목포시 청호로219번길 34-22,,34.80895733,126.3657649,실외(화장실 옆),0:00,23:59,0:00,23:59,0:00,0:00,1,Y,Y,전라남도 목포시청,061-270-8814,2023-07-13,4800000,전라남도 목포시
