,gid,행정동,geometry,coordinates,centroid,인구수,고령인구수,id,장애인복지시설수,경로당수,BF인증시설수,무장애산책로,전동휠체어충전소,장애인_실내문화공간,장애인_실외문화공간,주차장수
0,�쇰씪52b91b,하촌동,"MULTIPOLYGON (((128.0768592794176 35.2174926613683, 128.0768911806517 35.22200098924514, 128.0823851308398 35.221974683604, 128.08235292584 35.2174663600939, 128.0768592794176 35.2174926613683)))","[[128.07685927941765, 35.217492661368304], [128.07689118065173, 35.22200098924514], [128.08238513083984, 35.221974683604], [128.08235292584, 35.2174663600939], [128.07685927941765, 35.217492661368304]]",POINT (128.0796221290393 35.21973369435371),0.0,0.0,0,0,0,0,0,0,0,0,0
1,�쇰씪60a96a,대곡면,"MULTIPOLYGON (((128.1595916038058 35.25764617001039, 128.1596281342856 35.26215439746188, 128.1651247068098 35.26212430744585, 128.165087871982 35.25761608498667, 128.1595916038058 35.25764617001039)))","[[128.15959160380584, 35.25764617001039], [128.15962813428564, 35.26215439746188], [128.16512470680982, 35.26212430744585], [128.16508787198202, 35.25761608498667], [128.15959160380584, 35.25764617001039]]",POINT (128.1623580790522 35.25988526078236),56.00000000000001,19.0,1,0,0,0,0,0,0,0,0
2,�쇰씪48b91b,명석면,"MULTIPOLYGON (((128.0329098587104 35.21769409794043, 128.0329393297637 35.22220245926135, 128.0384333347407 35.22217814809913, 128.0384035599096 35.21766979081389, 128.0329098587104 35.21769409794043)))","[[128.0329098587104, 35.21769409794043], [128.0329393297637, 35.222202459261354], [128.0384333347407, 35.22217814809913], [128.0384035599096, 35.217669790813886], [128.0329098587104, 35.21769409794043]]",POINT (128.0356715206443 35.21993614480493),36.0,11.0,2,0,0,0,0,0,0,0,0
3,�쇰씪74b90a,사봉면,"MULTIPOLYGON (((128.3184363290601 35.20257530671146, 128.318481564151 35.20708341355072, 128.3239742249966 35.20704615816778, 128.3239286864258 35.20253805751376, 128.3184363290601 35.20257530671146)))","[[128.3184363290601, 35.20257530671146], [128.31848156415103, 35.20708341355072], [128.32397422499665, 35.207046158167785], [128.32392868642577, 35.20253805751376], [128.3184363290601, 35.20257530671146]]",POINT (128.3212052009484 35.20481075474896),19.999999999999996,12.0,3,0,1,0,0,0,0,0,0
4,�쇰씪42b85b,대평면,"MULTIPOLYGON (((127.966675492786 35.16386519801947, 127.9667012496694 35.16837364509511, 127.9721916876529 35.1683523682089, 127.9721656277837 35.1638439246677, 127.966675492786 35.16386519801947)))","[[127.96667549278597, 35.163865198019465], [127.96670124966938, 35.16837364509511], [127.97219168765285, 35.1683523682089], [127.97216562778367, 35.163843924667695], [127.96667549278597, 35.163865198019465]]",POINT (127.9694335143526 35.16610880473316),0.0,,4,0,0,0,0,0,0,0,0
6,�쇰씪54a86b,주약동,"MULTIPOLYGON (((128.0930124723357 35.17232967677933, 128.0930452120799 35.17683802532898, 128.0985361060328 35.17681101666209, 128.0985030632013 35.17230267259843, 128.0930124723357 35.17232967677933)))","[[128.09301247233572, 35.172329676779334], [128.09304521207994, 35.17683802532898], [128.09853610603278, 35.17681101666209], [128.09850306320132, 35.172302672598434], [128.09301247233572, 35.172329676779334]]",POINT (128.0957742132597 35.17457036858347),1732.0,318.0,6,0,1,0,1,0,0,0,0
8,�쇰씪38a87a,수곡면,"MULTIPOLYGON (((127.9173331337352 35.17757088360209, 127.9173561790393 35.18207935050133, 127.9228475754772 35.18206030361421, 127.9228242269746 35.17755183987842, 127.9173331337352 35.17757088360209)))","[[127.91733313373523, 35.17757088360209], [127.91735617903933, 35.18207935050133], [127.92284757547716, 35.18206030361421], [127.92282422697457, 35.17755183987842], [127.91733313373523, 35.17757088360209]]",POINT (127.920090278699 35.17981561514503),9.0,0.0,8,0,0,0,0,0,0,0,0
9,�쇰씪60b98b,대곡면,"MULTIPOLYGON (((128.1652721279409 35.2801571632885, 128.1653090036876 35.28466536874969, 128.1708070907766 35.28463500389578, 128.1707699103456 35.28012680347107, 128.1652721279409 35.2801571632885)))","[[128.16527212794085, 35.2801571632885], [128.16530900368758, 35.28466536874969], [128.17080709077658, 35.28463500389578], [128.1707699103456, 35.28012680347107], [128.16527212794085, 35.2801571632885]]",POINT (128.1680395330178 35.28239610567464),13.0,9.0,9,0,0,0,0,0,0,0,0
10,�쇰씪76a85b,이반성면,"MULTIPOLYGON (((128.3344985218104 35.16188986474993, 128.3345445752078 35.16639798364356, 128.3400344766779 35.1663600376482, 128.3399881204131 35.16185192505773, 128.3344985218104 35.16188986474993)))","[[128.33449852181045, 35.16188986474993], [128.33454457520781, 35.16639798364356], [128.34003447667794, 35.1663600376482], [128.33998812041307, 35.161851925057725], [128.33449852181045, 35.16188986474993]]",POINT (128.3372664233126 35.16412497350668),42.0,26.0,10,0,0,0,0,0,0,0,0
11,�쇰씪42b86b,대평면,"MULTIPOLYGON (((127.9667270122732 35.17288208879226, 127.9667527805985 35.1773905291107, 127.9722438247554 35.17736924515445, 127.9722177533097 35.17286080837121, 127.9667270122732 35.17288208879226)))","[[127.96672701227317, 35.172882088792264], [127.96675278059854, 35.1773905291107], [127.97224382475542, 35.17736924515445], [127.97221775330969, 35.17286080837121], [127.96672701227317, 35.172882088792264]]",POINT (127.9694853426139 35.17512568859942),9.0,0.0,11,0,0,0,0,0,0,0,0
