행정동,세대수,내외국인_남자 인구,내외국인_여자 인구,내국인_주민등록_남자 인구,내국인_주민등록_여자 인구,외국인_출입국등록신고_남자,외국인_출입국등록신고_여자,등록기준일자,데이터작성기준일
문 산 읍,3628,4221,4009,4021,3915,200,94,2022-12-31,2023-05-18
내 동 면,1648,2052,2029,1998,2001,54,28,2022-12-31,2023-05-18
정 촌 면,4028,4796,4357,4464,4299,332,58,2022-12-31,2023-05-18
금 곡 면,1229,1074,1125,1039,1101,35,24,2022-12-31,2023-05-18
진 성 면,1075,967,951,909,933,58,18,2022-12-31,2023-05-18
일반성면,1384,1271,1300,1252,1281,19,19,2022-12-31,2023-05-18
이반성면,1008,862,788,789,769,73,19,2022-12-31,2023-05-18
사 봉 면,904,982,778,718,767,264,11,2022-12-31,2023-05-18
지 수 면,828,745,688,700,683,45,5,2022-12-31,2023-05-18
대 곡 면,1773,1679,1588,1543,1535,136,53,2022-12-31,2023-05-18
금 산 면,7949,10290,10353,10242,10274,48,79,2022-12-31,2023-05-18
집 현 면,2147,2305,2267,2287,2246,18,21,2022-12-31,2023-05-18
미 천 면,927,788,782,771,773,17,9,2022-12-31,2023-05-18
명 석 면,2170,1949,2034,1918,2013,31,21,2022-12-31,2023-05-18
대 평 면,563,482,539,481,525,1,14,2022-12-31,2023-05-18
수 곡 면,1256,1103,1155,1067,1101,36,54,2022-12-31,2023-05-18
천 전 동,13639,13671,14102,13605,13990,66,112,2022-12-31,2023-05-18
성 북 동,5901,5004,5136,4965,5077,39,59,2022-12-31,2023-05-18
중 앙 동,6329,5234,5662,5207,5616,27,46,2022-12-31,2023-05-18
상 봉 동,7242,6629,6879,6606,6838,23,41,2022-12-31,2023-05-18
상 대 동,9920,9709,9825,9420,9608,289,217,2022-12-31,2023-05-18
하 대 동,11193,11966,12088,11807,11925,159,163,2022-12-31,2023-05-18
상 평 동,5515,6156,5671,5735,5562,421,109,2022-12-31,2023-05-18
초 장 동,9453,13385,13138,13361,13099,24,39,2022-12-31,2023-05-18
평 거 동,11369,12836,14065,12809,14003,27,62,2022-12-31,2023-05-18
신 안 동,5340,5392,6010,5374,5970,18,40,2022-12-31,2023-05-18
이 현 동,5196,5681,5850,5675,5827,6,23,2022-12-31,2023-05-18
판 문 동,8026,9941,10951,9894,10899,47,52,2022-12-31,2023-05-18
가 호 동,14808,15254,14799,14850,14409,404,390,2022-12-31,2023-05-18
충무공동,12379,16394,16953,16355,16881,39,72,2022-12-31,2023-05-18
