읍면동,장애유형,합계,남성_합계,여성_합계,심한 장애,남성_심한 장애,여성_심한 장애,심하지 않은 장애,남성_심하지 않은 장애,여성_심하지 않은 장애
전체,전체,"18,146","10,547","7,599","7,098","4,228","2,870","11,048","6,319","4,729"
문산읍,소계,713,415,298,373,222,151,340,193,147
문산읍,지체,264,155,109,59,38,21,205,117,88
문산읍,시각,53,36,17,13,7,6,40,29,11
문산읍,청각,81,33,48,22,9,13,59,24,35
문산읍,언어,6,4,2,2,2,0,4,2,2
문산읍,지적,105,63,42,105,63,42,0,0,0
문산읍,뇌병변,75,42,33,51,27,24,24,15,9
문산읍,자폐성,4,4,0,4,4,0,0,0,0
문산읍,정신,93,53,40,93,53,40,0,0,0
문산읍,신장,20,14,6,19,14,5,1,0,1
문산읍,심장,2,2,0,2,2,0,0,0,0
문산읍,호흡기,2,2,0,2,2,0,0,0,0
문산읍,간,3,3,0,0,0,0,3,3,0
문산읍,안면,1,1,0,0,0,0,1,1,0
문산읍,장루.요루,3,2,1,0,0,0,3,2,1
문산읍,뇌전증,1,1,0,1,1,0,0,0,0
내동면,소계,196,107,89,84,51,33,112,56,56
내동면,지체,79,41,38,15,9,6,64,32,32
내동면,시각,21,11,10,0,0,0,21,11,10
내동면,청각,29,15,14,8,6,2,21,9,12
내동면,언어,2,1,1,2,1,1,0,0,0
내동면,지적,20,14,6,20,14,6,0,0,0
내동면,뇌병변,18,11,7,13,8,5,5,3,2
내동면,자폐성,5,5,0,5,5,0,0,0,0
내동면,정신,15,5,10,15,5,10,0,0,0
내동면,신장,7,4,3,6,3,3,1,1,0
정촌면,소계,437,262,175,152,94,58,285,168,117
정촌면,지체,225,140,85,42,28,14,183,112,71
정촌면,시각,36,22,14,4,3,1,32,19,13
정촌면,청각,48,27,21,11,6,5,37,21,16
정촌면,언어,9,5,4,4,1,3,5,4,1
정촌면,지적,31,19,12,31,19,12,0,0,0
정촌면,뇌병변,47,24,23,29,16,13,18,8,10
정촌면,자폐성,9,8,1,9,8,1,0,0,0
