"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
381-1-000001,가호1주차장,공영,노상,,경상남도 진주시 가호동 1407-4,26,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,300,10,100,0,0,30000,현금,,경상남도 진주시청,055-749-8725,35.161119,128.106514,2023-01-20
381-1-000003,가호3주차장,공영,노상,,경상남도 진주시 가좌동 1449,54,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,300,10,100,0,0,30000,현금,,경상남도 진주시청,055-749-8725,35.1581497,128.105212,2023-01-20
381-1-000004,강남1주차장,공영,노상,,경상남도 진주시 강남동 219,9,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.18092171,128.0893331,2023-01-20
381-1-000005,경찰서1주차장,공영,노상,,경상남도 진주시 중안동 10,8,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.192941,128.081311,2023-01-20
381-1-000006,경찰서2주차장,공영,노상,,경상남도 진주시 중안동 10,9,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.192941,128.081311,2023-01-20
381-1-000007,경찰서3주차장,공영,노상,,경상남도 진주시 중안동 10,13,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.192941,128.081311,2023-01-20
381-1-000008,계동1주차장,공영,노상,,경상남도 진주시 계동 84,58,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.196051,128.081906,2023-01-20
381-1-000009,계동2주차장,공영,노상,,경상남도 진주시 중안동 4,11,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.194692,128.0812226,2023-01-20
381-1-000011,본성1주차장,공영,노상,,경상남도 진주시 본성동 5,22,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.19214021,128.0832529,2023-01-20
381-1-000012,본성2주차장,공영,노상,,경상남도 진주시 본성동 5,19,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.192138,128.083253,2023-01-20
