,id,centroid,행정동,coordinates,인구수,장애등록인원,고령인구수,복지시설밀도,건물3유형,건물2유형,전동휠체어충전소,전동휠체어충전소_bin,Predictions,XGBoost Predictions,SVM Predictions,KNN Predictions,Random Forest Predictions,Decision Tree Predictions,AdaBoost Predictions,LightGBM Predictions,Gradient Boosting Predictions,scaled_Predictions,위도,경도
0,0,POINT (128.0796221290393 35.21973369435371),하촌동,"[[128.07685927941765, 35.217492661368304], [128.07689118065173, 35.22200098924514], [128.08238513083984, 35.221974683604], [128.08235292584, 35.2174663600939], [128.07685927941765, 35.217492661368304]]",0.0,10.35897436,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.21973369435371,128.0796221290393
1,1,POINT (128.1623580790522 35.25988526078236),대곡면,"[[128.15959160380584, 35.25764617001039], [128.15962813428564, 35.26215439746188], [128.16512470680982, 35.26212430744585], [128.16508787198202, 35.25761608498667], [128.15959160380584, 35.25764617001039]]",56.0,2.068181818,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.25988526078236,128.1623580790522
2,2,POINT (128.0356715206443 35.21993614480493),명석면,"[[128.0329098587104, 35.21769409794043], [128.0329393297637, 35.222202459261354], [128.0384333347407, 35.22217814809913], [128.0384035599096, 35.217669790813886], [128.0329098587104, 35.21769409794043]]",36.0,1.79245283,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.21993614480493,128.0356715206443
3,3,POINT (128.3212052009484 35.20481075474896),사봉면,"[[128.3184363290601, 35.20257530671146], [128.31848156415103, 35.20708341355072], [128.32397422499665, 35.207046158167785], [128.32392868642577, 35.20253805751376], [128.3184363290601, 35.20257530671146]]",20.0,1.913793103,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.20481075474896,128.3212052009484
4,4,POINT (127.9694335143526 35.16610880473316),대평면,"[[127.96667549278597, 35.163865198019465], [127.96670124966938, 35.16837364509511], [127.97219168765285, 35.1683523682089], [127.97216562778367, 35.163843924667695], [127.96667549278597, 35.163865198019465]]",0.0,2.740740741,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.16610880473316,127.9694335143526
5,6,POINT (128.0957742132597 35.17457036858347),주약동,"[[128.09301247233572, 35.172329676779334], [128.09304521207994, 35.17683802532898], [128.09853610603278, 35.17681101666209], [128.09850306320132, 35.172302672598434], [128.09301247233572, 35.172329676779334]]",1732.0,48.47058824,318.0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0.0,35.17457036858347,128.0957742132597
6,8,POINT (127.920090278699 35.17981561514503),수곡면,"[[127.91733313373523, 35.17757088360209], [127.91735617903933, 35.18207935050133], [127.92284757547716, 35.18206030361421], [127.92282422697457, 35.17755183987842], [127.91733313373523, 35.17757088360209]]",9.0,0.932773109,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.17981561514503,127.920090278699
7,9,POINT (128.1680395330178 35.28239610567464),대곡면,"[[128.16527212794085, 35.2801571632885], [128.16530900368758, 35.28466536874969], [128.17080709077658, 35.28463500389578], [128.1707699103456, 35.28012680347107], [128.16527212794085, 35.2801571632885]]",13.0,2.068181818,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.28239610567464,128.1680395330178
8,10,POINT (128.3372664233126 35.16412497350668),이반성면,"[[128.33449852181045, 35.16188986474993], [128.33454457520781, 35.16639798364356], [128.34003447667794, 35.1663600376482], [128.33998812041307, 35.161851925057725], [128.33449852181045, 35.16188986474993]]",42.0,1.630952381,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.16412497350668,128.3372664233126
9,11,POINT (127.9694853426139 35.17512568859942),대평면,"[[127.96672701227317, 35.172882088792264], [127.96675278059854, 35.1773905291107], [127.97224382475542, 35.17736924515445], [127.97221775330969, 35.17286080837121], [127.96672701227317, 35.172882088792264]]",9.0,2.740740741,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.17512568859942,127.9694853426139
