,id,행정동,법정동,geometry,coordinates,centroid,인구수,고령인구수,장애인복지시설수,경로당수,BF인증시설수,무장애산책로,전동휠체어충전소,장애인_실내문화공간,장애인_실외문화공간,경찰서,공공도서관,우체국,의료기관,학교,장애인구수(4유형),전동휠체어충전소_공휴일운영,복지시설밀도,장애등록인원,건물3유형,건물2유형,복지시설수_정규화,장애인구수_정규화,건물3유형_정규화,건물2유형_정규화,총점,총점_정규화
0,0,하촌동,초장동,"MULTIPOLYGON (((128.0768592794176 35.2174926613683, 128.0768911806517 35.22200098924514, 128.0823851308398 35.221974683604, 128.08235292584 35.2174663600939, 128.0768592794176 35.2174926613683)))","[[128.07685927941765, 35.217492661368304], [128.07689118065173, 35.22200098924514], [128.08238513083984, 35.221974683604], [128.08235292584, 35.2174663600939], [128.07685927941765, 35.217492661368304]]",POINT (128.0796221290393 35.21973369435371),0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10.35897436,0,0,10.35897436,0,0,0.0,0.15076669931217812,0.0,0.0,0.6030667972487125,0.03448386660916071
1,1,대곡면,대곡면,"MULTIPOLYGON (((128.1595916038058 35.25764617001039, 128.1596281342856 35.26215439746188, 128.1651247068098 35.26212430744585, 128.165087871982 35.25761608498667, 128.1595916038058 35.25764617001039)))","[[128.15959160380584, 35.25764617001039], [128.15962813428564, 35.26215439746188], [128.16512470680982, 35.26212430744585], [128.16508787198202, 35.25761608498667], [128.15959160380584, 35.25764617001039]]",POINT (128.1623580790522 35.25988526078236),56.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,2.068181818,0,0,2.068181818,0,0,0.0,0.018160213098364634,0.0,0.0,0.07264085239345854,0.004153665026394561
2,2,명석면,명석면,"MULTIPOLYGON (((128.0329098587104 35.21769409794043, 128.0329393297637 35.22220245926135, 128.0384333347407 35.22217814809913, 128.0384035599096 35.21766979081389, 128.0329098587104 35.21769409794043)))","[[128.0329098587104, 35.21769409794043], [128.0329393297637, 35.222202459261354], [128.0384333347407, 35.22217814809913], [128.0384035599096, 35.217669790813886], [128.0329098587104, 35.21769409794043]]",POINT (128.0356715206443 35.21993614480493),36.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,0,0,1.79245283,0,0,0.0,0.013750085591163681,0.0,0.0,0.055000342364654724,0.0031449658283520658
3,3,사봉면,사봉면,"MULTIPOLYGON (((128.3184363290601 35.20257530671146, 128.318481564151 35.20708341355072, 128.3239742249966 35.20704615816778, 128.3239286864258 35.20253805751376, 128.3184363290601 35.20257530671146)))","[[128.3184363290601, 35.20257530671146], [128.31848156415103, 35.20708341355072], [128.32397422499665, 35.207046158167785], [128.32392868642577, 35.20253805751376], [128.3184363290601, 35.20257530671146]]",POINT (128.3212052009484 35.20481075474896),20.0,12.0,0,1,0,0,0,0,0,0,0,0,0,0,1.913793103,0,1,1.913793103,0,0,0.14285714285714285,0.015690853878060573,0.0,0.0,0.6341919869408137,0.03626363113014559
4,4,대평면,대평면,"MULTIPOLYGON (((127.966675492786 35.16386519801947, 127.9667012496694 35.16837364509511, 127.9721916876529 35.1683523682089, 127.9721656277837 35.1638439246677, 127.966675492786 35.16386519801947)))","[[127.96667549278597, 35.163865198019465], [127.96670124966938, 35.16837364509511], [127.97219168765285, 35.1683523682089], [127.97216562778367, 35.163843924667695], [127.96667549278597, 35.163865198019465]]",POINT (127.9694335143526 35.16610880473316),0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2.740740741,0,0,2.740740741,0,0,0.0,0.028917408517134865,0.0,0.0,0.11566963406853946,0.006614086947162737
5,6,주약동,천전동,"MULTIPOLYGON (((128.0930124723357 35.17232967677933, 128.0930452120799 35.17683802532898, 128.0985361060328 35.17681101666209, 128.0985030632013 35.17230267259843, 128.0930124723357 35.17232967677933)))","[[128.09301247233572, 35.172329676779334], [128.09304521207994, 35.17683802532898], [128.09853610603278, 35.17681101666209], [128.09850306320132, 35.172302672598434], [128.09301247233572, 35.172329676779334]]",POINT (128.0957742132597 35.17457036858347),1732.0,318.0,0,1,0,1,0,0,0,0,0,0,3,0,48.47058824,0,2,48.47058824,0,3,0.6428571428571428,0.7603401719280125,0.0,0.06818181818181818,5.749152895504258,0.3287413972526775
6,8,수곡면,수곡면,"MULTIPOLYGON (((127.9173331337352 35.17757088360209, 127.9173561790393 35.18207935050133, 127.9228475754772 35.18206030361421, 127.9228242269746 35.17755183987842, 127.9173331337352 35.17757088360209)))","[[127.91733313373523, 35.17757088360209], [127.91735617903933, 35.18207935050133], [127.92284757547716, 35.18206030361421], [127.92282422697457, 35.17755183987842], [127.91733313373523, 35.17757088360209]]",POINT (127.920090278699 35.17981561514503),9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.932773109,0,0,0.932773109,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,9,대곡면,대곡면,"MULTIPOLYGON (((128.1652721279409 35.2801571632885, 128.1653090036876 35.28466536874969, 128.1708070907766 35.28463500389578, 128.1707699103456 35.28012680347107, 128.1652721279409 35.2801571632885)))","[[128.16527212794085, 35.2801571632885], [128.16530900368758, 35.28466536874969], [128.17080709077658, 35.28463500389578], [128.1707699103456, 35.28012680347107], [128.16527212794085, 35.2801571632885]]",POINT (128.1680395330178 35.28239610567464),13.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,2.068181818,0,0,2.068181818,0,0,0.0,0.018160213098364634,0.0,0.0,0.07264085239345854,0.004153665026394561
8,10,이반성면,이반성면,"MULTIPOLYGON (((128.3344985218104 35.16188986474993, 128.3345445752078 35.16639798364356, 128.3400344766779 35.1663600376482, 128.3399881204131 35.16185192505773, 128.3344985218104 35.16188986474993)))","[[128.33449852181045, 35.16188986474993], [128.33454457520781, 35.16639798364356], [128.34003447667794, 35.1663600376482], [128.33998812041307, 35.161851925057725], [128.33449852181045, 35.16188986474993]]",POINT (128.3372664233126 35.16412497350668),42.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,0,0,1.630952381,0,0,0.0,0.011166978251864973,0.0,0.0,0.04466791300745989,0.002554148828763313
9,11,대평면,대평면,"MULTIPOLYGON (((127.9667270122732 35.17288208879226, 127.9667527805985 35.1773905291107, 127.9722438247554 35.17736924515445, 127.9722177533097 35.17286080837121, 127.9667270122732 35.17288208879226)))","[[127.96672701227317, 35.172882088792264], [127.96675278059854, 35.1773905291107], [127.97224382475542, 35.17736924515445], [127.97221775330969, 35.17286080837121], [127.96672701227317, 35.172882088792264]]",POINT (127.9694853426139 35.17512568859942),9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2.740740741,0,0,2.740740741,0,0,0.0,0.028917408517134865,0.0,0.0,0.11566963406853946,0.006614086947162737
