,id,행정동,coordinates,인구수,장애등록인원,고령인구수,복지시설밀도,건물3유형,건물2유형,전동휠체어충전소,전동휠체어충전소_bin,Predictions,XGBoost Predictions,SVM Predictions,KNN Predictions,Random Forest Predictions,Decision Tree Predictions,AdaBoost Predictions,LightGBM Predictions,Gradient Boosting Predictions,scaled_Predictions
155,208,명석면,"[[128.04383711731685, 35.208628517839976], [128.04386718256876, 35.21313687782078], [128.04936056677099, 35.213112076269255], [128.04933019787904, 35.208603720406], [128.04383711731685, 35.208628517839976]]",15.0,1.79245283,10.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.0
1211,1618,금산면,"[[128.14831195593683, 35.221639570408904], [128.14834781395933, 35.22614783489462], [128.15384196971954, 35.226118283465034], [128.15380580788556, 35.22161002388454], [128.14831195593683, 35.221639570408904]]",139.0,6.915492958,49.0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1.0
796,1053,금곡면,"[[128.1638768999309, 35.1088428381433], [128.16391346582427, 35.11335117266768], [128.16940002233653, 35.11332099881555], [128.16936315431872, 35.10881266930692], [128.1638768999309, 35.1088428381433]]",9.0,1.632183908,0.0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1.0
1253,1694,지수면,"[[128.24182939628759, 35.234627892970224], [128.2418704461899, 35.239136058221725], [128.247365367995, 35.239102251483835], [128.24732401411103, 35.23459409184283], [128.24182939628759, 35.234627892970224]]",0.0,1.37254902,0.0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1.0
1228,1641,금곡면,"[[128.19733237900869, 35.17177404557196], [128.197370877119, 35.17628230181931], [128.20286162013576, 35.17625056446647], [128.2028228189715, 35.17174231349047], [128.19733237900869, 35.17177404557196]]",0.0,4.13253012,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.0
102,134,집현면,"[[128.1098885044426, 35.226347713504076], [128.10992224322752, 35.230856007775074], [128.11541675720522, 35.23082819708685], [128.1153827145294, 35.22631990743188], [128.1098885044426, 35.226347713504076]]",66.0,2.517241379,41.0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1.0
1313,2183,수곡면,"[[127.90097055126598, 35.20016886821588], [127.90099271155938, 35.20467732748142], [127.90648564016922, 35.20465901227445], [127.90646317633714, 35.20015055604998], [127.90097055126598, 35.20016886821588]]",0.0,0.932773109,0.0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1.0
481,639,진성면,"[[128.25760129459985, 35.15788669912239], [128.25764309833914, 35.162394905326835], [128.26313283397354, 35.16236044769343], [128.26309072740383, 35.15785224721311], [128.25760129459985, 35.15788669912239]]",8.0,1.607594937,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.0
365,488,대평면,"[[127.98860903495896, 35.15927017582626], [127.98863599778957, 35.16377861189604], [127.99412610923824, 35.16375634340294], [127.9940988434943, 35.15924791103252], [127.98860903495896, 35.15927017582626]]",20.0,2.740740741,7.0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1.0
708,939,정촌면,"[[128.09255487847452, 35.1092124413628], [128.0925875165929, 35.11372083733609], [128.09807417344246, 35.11369389142903], [128.09804123317758, 35.10918549993494], [128.09255487847452, 35.1092124413628]]",133.0,4.276923077,47.0,2,0,0,0,0,1,1,0,1,0,0,0,1,0,1.0
1238,1658,대평면,"[[127.96680433441915, 35.1864073996107], [127.96683011991692, 35.19091582979189], [127.97232207383887, 35.19089453522773], [127.97229598501872, 35.186386108582894], [127.96680433441915, 35.1864073996107]]",16.0,2.740740741,9.0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1.0
363,486,내동면,"[[128.04893601535179, 35.14999478608555], [128.0489662967012, 35.154503185957836], [128.05445573211207, 35.15447818920842], [128.05442514799932, 35.14996979348919], [128.04893601535179, 35.14999478608555]]",0.0,1.2125,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.0
1065,1426,수곡면,"[[127.9285757728253, 35.22712542733754], [127.92859948237, 35.23163385071636], [127.93409420797508, 35.23161427018045], [127.93407019449266, 35.22710585005168], [127.9285757728253, 35.22712542733754]]",11.0,0.932773109,8.0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1.0
950,1266,이반성면,"[[128.3288717223373, 35.148403159788145], [128.32891744239845, 35.152911295182705], [128.33440644568836, 35.15287361672113], [128.33436042295915, 35.14836548758639], [128.3288717223373, 35.148403159788145]]",33.0,1.630952381,21.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
951,1267,금산면,"[[128.1316208360091, 35.194676969234166], [128.13165573605704, 35.19918526855003], [128.1371480936161, 35.199156493802484], [128.13711289015592, 35.194648199264556], [128.1316208360091, 35.194676969234166]]",54.0,6.915492958,21.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
945,1259,집현면,"[[128.06612250965523, 35.25361111312447], [128.06615385899462, 35.258119422498055], [128.07165025586497, 35.25809358118204], [128.07161860221666, 35.25358527609615], [128.06612250965523, 35.25361111312447]]",65.0,2.517241379,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
948,1263,충무공동,"[[128.13141159838958, 35.16762710209001], [128.13144645196945, 35.17213542176175], [128.1369369900652, 35.17210667567409], [128.13690183347705, 35.16759836077719], [128.13141159838958, 35.16762710209001]]",6076.0,39.8,282.0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0
947,1262,사봉면,"[[128.2360498011136, 35.203104153615044], [128.23609048374774, 35.20761234827017], [128.2415832881997, 35.20757882993953], [128.24154230205394, 35.20307064084929], [128.2360498011136, 35.203104153615044]]",101.0,1.913793103,54.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
946,1261,금산면,"[[128.17548241682323, 35.185423306192426], [128.1755197275461, 35.18993157292138], [128.18101141394575, 35.189900815724435], [128.1809737999596, 35.18539255410315], [128.17548241682323, 35.185423306192426]]",7.0,6.915492958,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
949,1264,금곡면,"[[128.15333643403966, 35.16300234033681], [128.15337249163454, 35.167510644055284], [128.1588626950945, 35.16748090755738], [128.1588263345656, 35.162972608778524], [128.15333643403966, 35.16300234033681]]",6.0,4.13253012,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,0,하촌동,"[[128.07685927941765, 35.217492661368304], [128.07689118065173, 35.22200098924514], [128.08238513083984, 35.221974683604], [128.08235292584, 35.2174663600939], [128.07685927941765, 35.217492661368304]]",0.0,10.35897436,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
952,1268,이반성면,"[[128.31784918600607, 35.14396960722885], [128.31789429070767, 35.14847775843039], [128.32338301156443, 35.14844058340331], [128.32333760425746, 35.1439324383783], [128.31784918600607, 35.14396960722885]]",18.0,1.630952381,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
943,1256,금곡면,"[[128.1803731107303, 35.11325990622644], [128.1804105913136, 35.11776822218533], [128.185897425247, 35.11773729831066], [128.1858596424776, 35.11322898749187], [128.1803731107303, 35.11325990622644]]",15.0,1.632183908,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
942,1255,지수면,"[[128.24732401411103, 35.23459409184283], [128.247365367995, 35.239102251483835], [128.2528602806165, 35.23906819531111], [128.25281862275287, 35.23456004132202], [128.24732401411103, 35.23459409184283]]",60.0,1.37254902,23.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
941,1254,이반성면,"[[128.32374663322602, 35.184505620756205], [128.32379213136787, 35.18901373506643], [128.32928356859398, 35.188976255460496], [128.3292377672438, 35.184468147374176], [128.32374663322602, 35.184505620756205]]",27.0,1.630952381,20.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0.0
940,1253,지수면,"[[128.247365367995, 35.239102251483835], [128.24740673106263, 35.2436104077179], [128.25290194773123, 35.24357634589268], [128.2528602806165, 35.23906819531111], [128.247365367995, 35.239102251483835]]",40.0,1.37254902,18.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
939,1252,집현면,"[[128.05488462357107, 35.217595373806354], [128.05491530972682, 35.22210371873628], [128.060409287849, 35.22207841032656], [128.0603782979214, 35.217570069597826], [128.05488462357107, 35.217595373806354]]",52.0,2.517241379,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
938,1251,사봉면,"[[128.26879229205204, 35.18035848612941], [128.26883474856186, 35.18486666381205], [128.27432598056748, 35.18483167968153], [128.27428322089506, 35.180323507808765], [128.26879229205204, 35.18035848612941]]",6.0,1.913793103,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
937,1249,대평면,"[[127.96677855464677, 35.181898966050255], [127.96680433441915, 35.1864073996107], [127.97229598501872, 35.186386108582894], [127.97226990199135, 35.18187767855841], [127.96677855464677, 35.181898966050255]]",8.0,2.740740741,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
944,1257,이반성면,"[[128.31807480970298, 35.16651032912169], [128.31811996451006, 35.17101846326481], [128.32361019940163, 35.170981257345034], [128.3235647416531, 35.1664731293818], [128.31807480970298, 35.16651032912169]]",29.0,1.630952381,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
958,1277,평거동,"[[128.0655594103126, 35.17246096493979], [128.0655906345969, 35.17696933529944], [128.0710815642317, 35.17694357109072], [128.07105003685228, 35.1724352050104], [128.0655594103126, 35.17246096493979]]",2154.0,58.3,338.0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0.0
953,1269,집현면,"[[128.12647508640512, 35.23978837798171], [128.12650975994842, 35.24429664809742], [128.1320051631056, 35.24426807504422], [128.13197018547393, 35.23975980967025], [128.12647508640512, 35.23978837798171]]",61.0,2.517241379,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
954,1270,금산면,"[[128.15897182513876, 35.18100578352561], [128.15900821797857, 35.18551406872491], [128.16449962576542, 35.18548406350449], [128.16446292972415, 35.1809757832883], [128.15897182513876, 35.18100578352561]]",7.0,6.915492958,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
971,1295,이반성면,"[[128.35077954294655, 35.14374286595361], [128.35082646324653, 35.14825097947653], [128.35631512259232, 35.14821231294345], [128.35626789970055, 35.14370420584483], [128.35077954294655, 35.14374286595361]]",15.0,1.630952381,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
970,1294,가좌동,"[[128.09291429671305, 35.15880461079916], [128.09294701465387, 35.16331296951422], [128.0984369995469, 35.163285974303875], [128.09840397872063, 35.15877762007336], [128.09291429671305, 35.15880461079916]]",23.0,24.4516129,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
969,1293,금곡면,"[[128.19146044607274, 35.12672272719038], [128.19149855640623, 35.131231022639966], [128.19698628044023, 35.13119958642922], [128.19694786772303, 35.12669129620399], [128.19146044607274, 35.12672272719038]]",10.0,1.632183908,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
968,1292,지수면,"[[128.2417063012573, 35.22110337677978], [128.24174732382332, 35.225611552249056], [128.24724133388582, 35.22557776234085], [128.24720000754053, 35.22106959248025], [128.2417063012573, 35.22110337677978]]",48.0,1.37254902,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
967,1291,정촌면,"[[128.12022577934542, 35.1406337925296], [128.12025998130378, 35.14514214196976], [128.1257487177517, 35.145113921709594], [128.125714213185, 35.140605576958556], [128.12022577934542, 35.1406337925296]]",55.0,4.276923077,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
966,1290,금곡면,"[[128.16969526139465, 35.14938751270797], [128.16973220316848, 35.15389581166951], [128.17522147361726, 35.15386534398428], [128.17518422911647, 35.14935705008468], [128.16969526139465, 35.14938751270797]]",193.0,4.13253012,85.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
965,1289,금산면,"[[128.14824026377477, 35.21262303125009], [128.1482761058759, 35.217131302527335], [128.15376965408063, 35.217101760907646], [128.1537335083029, 35.21259349453454], [128.14824026377477, 35.21262303125009]]",3916.0,6.915492958,771.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
964,1288,미천면,"[[128.11039537370792, 35.29397177125458], [128.110429225058, 35.29848001461585], [128.11592830550572, 35.29845213462694], [128.1158941492509, 35.29394389588926], [128.11039537370792, 35.29397177125458]]",0.0,1.901639344,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
963,1287,수곡면,"[[127.92843362606914, 35.20007481612459], [127.92845730404476, 35.20458325977105], [127.93395020703564, 35.20456369873012], [127.93392622552699, 35.20005525833158], [127.92843362606914, 35.20007481612459]]",29.0,0.932773109,12.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0
